GRUP;TAHSILATAY;SORUMLUAVUKAT;DEVIR;ANAPARA;FAIZ;TAHSILATDURUM;CARIYILSEVK;ODEMEGUN;ANAPARAFAIZ
GRUP 2;Ekim;;2014;2451.29;2929.43;Yasal Takip;;8;5380.72
GRUP 2;Mayıs;;2016;11883.25;5895.34;Yasal Takip;;26;17778.59
GRUP 2;Ağustos;;2018;4227.06;11648.84;Yasal Takip;;6;15875.9
GRUP 2;Ağustos;;2019;16152.38;23242.67;Yasal Takip;;9;39395.05
GRUP 2;Şubat;;2021/01;190053.04;3833.41;İdari Takip;;26;193886.45
GRUP 2;Temmuz;;2015;7453.38;4916.49;Yasal Takip;;29;12369.87
GRUP 2;Eylül;;2015;28425.11;3046.08;Yasal Takip;;27;31471.19
GRUP 2;Mart;;2015;10909.69;74.45;Yasal Takip;;30;10984.14
GRUP 2;Eylül;;2014;5614.39;3556.41;Yasal Takip;;30;9170.8
GRUP 2;Haziran;;2017;619.92;922.9;Yasal Takip;;23;1542.82
GRUP 2;Temmuz;;2021/04;68716.34;3693.89;Yasal Takip;;8;72410.23
GRUP 2;Temmuz;;2021/04;13.36;0.14;Yasal Takip;;10;13.5
GRUP 2;Temmuz;;2021/03;33419.53;2673.01;Yasal Takip;;7;36092.54
GRUP 2;Ağustos;;2021/04;59412.5;142149.08;Yasal Takip;;3;201561.58
GRUP 2;Aralık;;2021/04;10622.79;2566.34;Yasal Takip;;27;13189.13
GRUP 2;Kasım;;2021/03;12017.4;1603.09;Yasal Takip;;29;13620.49
GRUP 2;Ağustos;;2021/04;41293.93;1827.32;Yasal Takip;;2;43121.25
GRUP 2;Ekim;;2021/04;13282.3;1084.68;Yasal Takip;;11;14366.98
GRUP 2;Kasım;;2021/03;17986.93;2455.33;Yasal Takip;;9;20442.26
GRUP 2;Kasım;;2021/05;17099.97;1985.24;Yasal Takip;;5;19085.21
GRUP 2;Ekim;;2021/06;68733.84;5557.92;Yasal Takip;;18;74291.76
GRUP 2;Temmuz;;2021/04;34829.76;3773.21;Yasal Takip;;27;38602.97
GRUP 2;Ekim;;2021/07;55493.78;4802.28;Yasal Takip;;20;60296.06
GRUP 2;Aralık;;2021/03;13275.47;1810.2;Yasal Takip;;23;15085.67
GRUP 2;Aralık;;2021/09;56350.43;3680.08;Yasal Takip;;3;60030.51
GRUP 2;Kasım;;2021/06;10820.64;1080.25;Yasal Takip;;11;11900.89
GRUP 2;Kasım;;2021/04;12886.8;1571.38;Yasal Takip;;17;14458.18
GRUP 2;Aralık;;2021/06;26909.72;2534.16;Yasal Takip;;14;29443.88
GRUP 2;Aralık;;2021/09;56559.35;4522.28;Yasal Takip;;20;61081.63
GRUP 2;Eylül;;2021/08;7313.29;412.75;Yasal Takip;;29;7726.04
GRUP 2;Mayıs;;2021/05;94260.87;646.86;İdari Takip;;28;94907.73
GRUP 2;Kasım;;2021/04;24905.04;3114.2;Yasal Takip;;15;28019.24
GRUP 2;Aralık;;2021/06;21890.24;2389.63;Yasal Takip;;20;24279.87
GRUP 2;Ekim;;2021/05;40456.04;3899.55;Yasal Takip;;13;44355.59
GRUP 2;Ekim;;2021/08;31161.54;850.18;Yasal Takip;;28;32011.72
GRUP 2;Kasım;;2021/05;4241.25;314.06;Yasal Takip;;11;4555.31
GRUP 2;Aralık;;2021/11;87928.19;1045.78;Yasal Takip;;8;88973.97
GRUP 2;Aralık;;2021/11;35203.63;1100.52;Yasal Takip;;29;36304.15
GRUP 2;Aralık;;2021/10;59091.85;2214.26;Yasal Takip;;24;61306.11
GRUP 2;Kasım;;2021/06;61655.04;5563.37;Yasal Takip;;19;67218.41
GRUP 2;Aralık;;2021/11;522.5;8.55;Yasal Takip;;18;531.05
GRUP 2;Kasım;;2021/09;101952.41;4512.88;Yasal Takip;;29;106465.29
GRUP 2;Mart;;2021/02;77227.2;1210.11;İdari Takip;;23;78437.31
GRUP 2;Mart;;2021/02;135410.93;2453.32;İdari Takip;;25;137864.25
GRUP 2;Şubat;;2020;73384.61;2472.78;İdari Takip;;4;75857.39
GRUP 2;Şubat;;2021/01;296120.2;1280.8;İdari Takip;;3;297401
GRUP 2;Mart;;2021/01;29505.47;866.72;İdari Takip;;16;30372.19
GRUP 2;Mart;;2021/01;125079.58;3181.22;İdari Takip;;2;128260.8
GRUP 2;Aralık;;2019;30351.02;44321.93;Yasal Takip;;28;74672.95
GRUP 2;Temmuz;;2021/06;135760.1;1187.47;İdari Takip;;7;136947.57
GRUP 2;Temmuz;;2021/06;192314.77;1765.96;İdari Takip;;9;194080.73
GRUP 2;Temmuz;;2021/06;14392.36;150.66;İdari Takip;;10;14543.02
GRUP 2;Ekim;;2021/06;3522.66;244.86;İdari Takip;;18;3767.52
GRUP 2;Eylül;;2021/08;230520.77;2441.82;İdari Takip;;7;232962.59
GRUP 2;Ekim;;2021/09;276093.31;3324.69;İdari Takip;;19;279418
GRUP 2;Ekim;;2021/07;18950.96;741.59;İdari Takip;;5;19692.55
GRUP 2;Ekim;;2021/08;57594.84;1371.24;İdari Takip;;7;58966.08
GRUP 2;Kasım;;2021/09;27363.77;745.04;İdari Takip;;22;28108.81
GRUP 2;Nisan;;2021/07;127654.57;0;İdari Takip;;2;127654.57
GRUP 2;Ekim;;2021/07;11370.01;585.14;İdari Takip;;6;11955.15
GRUP 2;Şubat;;2015;5101.17;0;Yasal Takip;;2;5101.17
GRUP 2;Nisan;;2020;119740.4;18005.27;Yasal Takip;;12;137745.67
GRUP 2;Ekim;;2017;4207.07;9281.13;Yasal Takip;;14;13488.2
GRUP 2;Şubat;;2015;3812.02;585.93;Yasal Takip;;26;4397.95
GRUP 2;Ağustos;;2019;40338.67;35112.53;Yasal Takip;;3;75451.2
GRUP 2;Ekim;;2016;73.39;1594.19;Yasal Takip;;28;1667.58
GRUP 2;Mart;;2020;104627.93;6375.72;Yasal Takip;2021;17;111003.65
GRUP 2;Ağustos;;2014;10941.16;1373;Yasal Takip;;13;12314.16
GRUP 2;Temmuz;;2014;2010.63;2822.78;Yasal Takip;;7;4833.41
GRUP 2;Ağustos;;2019;20498.51;11998.86;Yasal Takip;;12;32497.37
GRUP 2;Eylül;;2015;3332.69;113.95;Yasal Takip;;9;3446.64
GRUP 2;Temmuz;;2015;1424.35;321.18;Yasal Takip;;28;1745.53
GRUP 2;Ekim;;2020;306.27;74.73;Yasal Takip;2021;16;381
GRUP 2;Şubat;;2014;5132.8;921.75;Yasal Takip;;16;6054.55
GRUP 2;Aralık;;2021/02;7461.36;1246.04;Yasal Takip;;16;8707.4
GRUP 2;Ağustos;;2020;39182.7;6232.23;Yasal Takip;2021;18;45414.93
GRUP 2;Ekim;;2013;0;0;Yasal Takip;;25;0
GRUP 2;Haziran;;2020;88108.36;7931.51;Yasal Takip;2021;25;96039.87
GRUP 2;Ekim;;2020;553.57;27.43;Yasal Takip;;31;581
GRUP 2;Temmuz;;2015;10260.25;1721.56;Yasal Takip;;8;11981.81
GRUP 2;Mayıs;;2020;24262.45;2801.07;Yasal Takip;2021;26;27063.52
GRUP 2;Mart;;2018;6840.82;4873.91;Yasal Takip;;22;11714.73
GRUP 2;Aralık;;2021/01;11078.97;2712.69;Yasal Takip;;31;13791.66
GRUP 2;Haziran;;2021/05;27955.94;601.55;Yasal Takip;;24;28557.49
GRUP 2;Kasım;;2021/05;26417.15;2744.35;Yasal Takip;;19;29161.5
GRUP 2;Kasım;;2021/09;60259.7;1967.14;Yasal Takip;;11;62226.84
GRUP 2;Eylül;;2021/06;3111.05;115.62;Yasal Takip;;14;3226.67
GRUP 2;Kasım;;2021/08;30844.56;2878.65;Yasal Takip;;4;33723.21
GRUP 2;Kasım;;2021/08;36629.71;3476.63;Yasal Takip;;17;40106.34
GRUP 2;Ekim;;2021/08;579283.54;36597.06;İdari Takip;;22;615880.6
GRUP 2;Aralık;;2021/04;6648.73;1538.19;Yasal Takip;;16;8186.92
GRUP 2;Ekim;;2021/03;1798.58;225.25;İdari Takip;;7;2023.83
GRUP 2;Eylül;;2021/06;3057.36;96.13;Yasal Takip;;1;3153.49
GRUP 2;Kasım;;2021/08;62621.15;3986.09;Yasal Takip;;18;66607.24
GRUP 2;Ekim;;2021/05;4283.38;337.99;Yasal Takip;;6;4621.37
GRUP 2;Aralık;;2021/08;29316.55;2007.89;Yasal Takip;;17;31324.44
GRUP 2;Mart;;2020;6039.34;398.88;İdari Takip;;12;6438.22
GRUP 2;Mayıs;;2021/03;13102.06;435.77;İdari Takip;;21;13537.83
GRUP 2;Mart;;2021/03;330159.26;1621.42;İdari Takip;;29;331780.68
