GRUP;TAHSILATAY;SORUMLUAVUKAT;DEVIR;ANAPARA;FAIZ;TAHSILATDURUM;CARIYILSEVK;ODEMEGUN;ANAPARAFAIZ
GRUP 2;Ekim;;2021/02;1799.84;41.93;Yasal Takip;;16;1841.77
GRUP 2;Nisan;;2018;3859.31;1999.43;Yasal Takip;;9;5858.74
GRUP 2;Şubat;;2021/01;299;0;Yasal Takip;;3;299
GRUP 2;Aralık;;2021/03;14093.78;2324.08;Yasal Takip;;10;16417.86
GRUP 2;Ocak;;2016;1588.58;992.27;Yasal Takip;;25;2580.85
GRUP 2;Mart;;2017;594.73;264.78;Yasal Takip;;28;859.51
GRUP 2;Aralık;;2021/10;9970.74;311.53;Yasal Takip;;2;10282.27
GRUP 2;Eylül;;2020;1674.15;350.69;İdari Takip;;15;2024.84
GRUP 2;Haziran;;2021/03;3236.66;161.5;İdari Takip;;22;3398.16
GRUP 2;Eylül;;2021/05;0;0;İdari Takip;;23;0
GRUP 2;Aralık;;2021/04;1350.56;191.24;İdari Takip;;21;1541.8
GRUP 2;Eylül;;2021/09;9672.04;99.3;İdari Takip;;30;9771.34
GRUP 2;Aralık;;2021/10;15120.56;534.42;İdari Takip;;17;15654.98
GRUP 2;Ekim;;2021/07;6290.23;334.31;İdari Takip;;15;6624.54
GRUP 2;Mart;;2021/01;21024.51;634.49;Yasal Takip;;24;21659
GRUP 2;Mayıs;;2015;1024.01;10.58;Yasal Takip;;26;1034.59
GRUP 2;Aralık;;2021/01;298.72;537.54;Yasal Takip;;15;836.26
GRUP 2;Haziran;;2021/01;3814.71;867.6;Yasal Takip;;10;4682.31
GRUP 2;Ağustos;;2018;4489.09;2973.08;Yasal Takip;;24;7462.17
GRUP 2;Mayıs;;2017;0;0;Yasal Takip;;16;0
GRUP 2;Ağustos;;2015;3441.93;1268;Yasal Takip;;11;4709.93
GRUP 2;Şubat;;2021/01;3002.4;12;Yasal Takip;;23;3014.4
GRUP 2;Ağustos;;2021/03;24863.41;3353.4;Yasal Takip;;25;28216.81
GRUP 2;Kasım;;2021/06;3014.61;247.76;İdari Takip;;4;3262.37
GRUP 2;Ekim;;2021/05;0;0;Yasal Takip;;29;0
GRUP 2;Kasım;;2020;1108.77;256.29;İdari Takip;;24;1365.06
GRUP 2;Ağustos;;2021/03;95.39;8.94;İdari Takip;;18;104.33
GRUP 2;Temmuz;;2021/03;7860.72;560.15;İdari Takip;;27;8420.87
GRUP 2;Haziran;;2021/04;23034.67;396.62;İdari Takip;;22;23431.29
GRUP 2;Ağustos;;2021/04;59.65;4.32;İdari Takip;;19;63.97
GRUP 2;Aralık;;2021/05;8122.71;1032.61;İdari Takip;;29;9155.32
GRUP 2;Temmuz;;2021/06;1366.56;10.25;İdari Takip;;3;1376.81
GRUP 2;Eylül;;2018;20189.57;4766.57;Yasal Takip;;2;24956.14
GRUP 2;Eylül;;2014;3758.67;57.38;Yasal Takip;;13;3816.05
GRUP 2;Nisan;;2021/03;10374.9;274.21;Yasal Takip;;22;10649.11
GRUP 2;Kasım;;2021/11;4647.71;57.14;Yasal Takip;;22;4704.85
GRUP 2;Nisan;;2021/02;942.74;21.36;İdari Takip;;22;964.1
GRUP 2;Ekim;;2021/10;76191.83;262.54;İdari Takip;;18;76454.37
GRUP 2;Ekim;;2013;729.84;223.85;Yasal Takip;;18;953.69
GRUP 2;Mart;;2018;0;741.2;Yasal Takip;;6;741.2
GRUP 2;Mayıs;;2016;0;0;Yasal Takip;;2;0
GRUP 2;Mayıs;;2013;0;0;Yasal Takip;;17;0
GRUP 2;Ağustos;;2020;856.48;17.78;Yasal Takip;2021;30;874.26
GRUP 2;Mayıs;;2013;0;0;Yasal Takip;;20;0
GRUP 2;Şubat;;2020;2172.2;317.22;İdari Takip;2021;16;2489.42
GRUP 2;Temmuz;;2019;215.37;405.99;Yasal Takip;;25;621.36
GRUP 2;Eylül;;2021/08;9090.5;597.52;Yasal Takip;;21;9688.02
GRUP 2;Kasım;;2021/02;248;38.24;İdari Takip;;8;286.24
GRUP 2;Ekim;;2021/05;1555.32;122.57;İdari Takip;;4;1677.89
GRUP 2;Mayıs;;2021/03;330.87;19.13;İdari Takip;;1;350
GRUP 2;Aralık;;2021/10;3891.91;161.28;İdari Takip;;28;4053.19
GRUP 2;Haziran;;2016;418.4;689.09;Yasal Takip;;16;1107.49
GRUP 2;Aralık;;2013;147.63;0;Yasal Takip;;7;147.63
GRUP 2;Ağustos;;2021/05;219.04;0.96;Yasal Takip;;8;220
GRUP 2;Temmuz;;2020;40828.61;5143.31;İdari Takip;;12;45971.92
GRUP 2;Aralık;;2021/10;1368.82;37.38;İdari Takip;;16;1406.2
GRUP 2;Nisan;;2016;985.22;112.2;Yasal Takip;;26;1097.42
GRUP 2;Mart;;2021/01;1724.46;37.98;Yasal Takip;;5;1762.44
GRUP 2;Mayıs;;2015;0;0;Yasal Takip;;13;0
GRUP 2;Nisan;;2021/02;1983.1;72.86;Yasal Takip;;5;2055.96
GRUP 2;Haziran;;2020;6.04;1.06;İdari Takip;;23;7.1
GRUP 2;Eylül;;2021/09;93330.68;261.67;İdari Takip;;20;93592.35
GRUP 2;Mart;;2017;636.6;136.12;Yasal Takip;;13;772.72
GRUP 2;Haziran;;2017;783.39;311.88;Yasal Takip;;18;1095.27
GRUP 2;Ekim;;2021/09;102.28;2.25;Yasal Takip;;18;104.53
GRUP 2;Haziran;;2020;523.99;52.83;İdari Takip;;1;576.82
GRUP 2;Ağustos;;2021/05;1466.27;76.95;İdari Takip;;31;1543.22
GRUP 2;Mayıs;;2021/04;1306.43;6.81;İdari Takip;;12;1313.24
GRUP 2;Aralık;;2021/06;4604;535.54;İdari Takip;;15;5139.54
GRUP 2;Mart;;2013;3763.45;416.73;Yasal Takip;;26;4180.18
GRUP 2;Kasım;;2019;974.16;2.45;Yasal Takip;;7;976.61
GRUP 2;Aralık;;2021/01;2910.68;588.35;Yasal Takip;;8;3499.03
GRUP 2;Ekim;;2020;1217.38;239.41;İdari Takip;;20;1456.79
GRUP 2;Mayıs;;2020;1024.65;265.51;Yasal Takip;;14;1290.16
GRUP 2;Ağustos;;2014;0;668.15;Yasal Takip;;7;668.15
GRUP 2;Mayıs;;2021/05;300;0;İdari Takip;;13;300
GRUP 2;Kasım;;2021/10;632.12;135.9;Yasal Takip;;27;768.02
GRUP 2;Aralık;;2021/04;2869.75;451.35;İdari Takip;;30;3321.1
GRUP 2;Kasım;;2021/05;79.76;8.48;İdari Takip;;23;88.24
GRUP 2;Aralık;;2021/06;81.88;8.71;İdari Takip;;28;90.59
GRUP 2;Mayıs;;2017;407.3;220.76;Yasal Takip;;19;628.06
GRUP 2;Mayıs;;2013;0;0;Yasal Takip;;1;0
GRUP 2;Ekim;;2021/01;569.98;132.27;Yasal Takip;;31;702.25
GRUP 2;Kasım;;2021/02;20.01;3.07;İdari Takip;;30;23.08
GRUP 2;Mart;;2020;951.1;48.49;İdari Takip;2021;5;999.59
GRUP 2;Mart;;2021/01;629.77;18.23;İdari Takip;;20;648
GRUP 2;Aralık;;2019;325.67;384.33;Yasal Takip;;12;710
GRUP 2;Kasım;;2019;26767.97;15558.81;Yasal Takip;;23;42326.78
GRUP 2;Eylül;;2020;52962.42;30967.93;Yasal Takip;;6;83930.35
GRUP 2;Mart;;2020;123598.23;9216.62;Yasal Takip;2021;12;132814.85
GRUP 2;Mart;;2018;5729.41;3978.43;Yasal Takip;;1;9707.84
GRUP 2;Ekim;;2019;20950.73;22885.91;Yasal Takip;;8;43836.64
GRUP 2;Haziran;;2019;19979.47;9413.82;Yasal Takip;;22;29393.29
GRUP 2;Haziran;;2016;6673.95;1168.87;Yasal Takip;;11;7842.82
GRUP 2;Nisan;;2019;25270.27;11727.39;Yasal Takip;;22;36997.66
GRUP 2;Kasım;;2019;17024.51;14404.36;Yasal Takip;;10;31428.87
GRUP 2;Ekim;;2015;657.59;1891.8;Yasal Takip;;1;2549.39
GRUP 2;Ocak;;2019;25886.6;8920.86;Yasal Takip;;27;34807.46
GRUP 2;Aralık;;2020;44932.82;18714.04;Yasal Takip;;8;63646.86
GRUP 2;Mart;;2020;163495.91;6724.5;Yasal Takip;2021;8;170220.41
GRUP 2;Ekim;;2020;27242.69;6604.42;Yasal Takip;2021;25;33847.11
GRUP 2;Ağustos;;2018;21897.12;15972.67;Yasal Takip;;27;37869.79
GRUP 2;Haziran;;2017;272.65;2487.96;Yasal Takip;;8;2760.61
GRUP 2;Şubat;;2020;52005.85;15961.86;Yasal Takip;;23;67967.71
GRUP 2;Şubat;;2019;62297.46;23778.23;Yasal Takip;;3;86075.69
GRUP 2;Nisan;;2021/01;31965.4;2275.73;Yasal Takip;;16;34241.13
GRUP 2;Aralık;;2015;10227.93;4863.56;Yasal Takip;;15;15091.49
GRUP 2;Şubat;;2018;6006.06;4265.84;Yasal Takip;;3;10271.9
GRUP 2;Ağustos;;2018;60877.25;3410.56;Yasal Takip;;11;64287.81
GRUP 2;Ocak;;2019;25906.12;10084.16;Yasal Takip;;11;35990.28
GRUP 2;Mart;;2020;104798.87;18037.17;Yasal Takip;;26;122836.04
GRUP 2;Şubat;;2020;68538.35;6314.83;Yasal Takip;2021;18;74853.18
GRUP 2;Şubat;;2019;50062.59;20985.63;Yasal Takip;;10;71048.22
GRUP 2;Mart;;2021/01;39935.68;985.99;Yasal Takip;;17;40921.67
GRUP 2;Mayıs;;2021/02;37054.77;1647.91;Yasal Takip;;18;38702.68
GRUP 2;Ağustos;;2021/02;20409.87;4166.18;Yasal Takip;;11;24576.05
GRUP 2;Mart;;2015;20213.19;6624.82;Yasal Takip;;1;26838.01
GRUP 2;Haziran;;2016;307.06;691.4;Yasal Takip;;4;998.46
GRUP 2;Kasım;;2019;27417.59;15570.68;Yasal Takip;;24;42988.27
GRUP 2;Mart;;2020;91931.68;14103.8;Yasal Takip;2021;23;106035.48
GRUP 2;Ocak;;2020;148088.89;23899.65;Yasal Takip;;15;171988.54
GRUP 2;Mayıs;;2015;9627.89;34.23;Yasal Takip;;4;9662.12
GRUP 2;Aralık;;2021/01;9127.31;1242.97;Yasal Takip;;24;10370.28
GRUP 2;Mart;;2021/01;68636.38;2685.36;Yasal Takip;;15;71321.74
GRUP 2;Aralık;;2019;38689.28;8384.41;Yasal Takip;;31;47073.69
GRUP 2;Eylül;;2020;74695.7;25331.67;Yasal Takip;;8;100027.37
GRUP 2;Haziran;;2015;530.1;749.67;Yasal Takip;;2;1279.77
GRUP 2;Şubat;;2015;2930.22;1997.45;Yasal Takip;;12;4927.67
GRUP 2;Temmuz;;2020;13286.26;2713.28;Yasal Takip;2021;9;15999.54
GRUP 2;Temmuz;;2019;18344.97;10904.72;Yasal Takip;;26;29249.69
GRUP 2;Eylül;;2015;5251.34;1262.26;Yasal Takip;;13;6513.6
GRUP 2;Ekim;;2021/03;12024.22;1722.46;Yasal Takip;;6;13746.68
GRUP 2;Ağustos;;2021/01;18266.63;2035.42;Yasal Takip;;6;20302.05
GRUP 2;Aralık;;2016;22823.7;12929.91;Yasal Takip;;27;35753.61
GRUP 2;Haziran;;2020;56909.98;10711.09;Yasal Takip;2021;22;67621.07
GRUP 2;Haziran;;2016;2506.75;260.51;Yasal Takip;;25;2767.26
GRUP 2;Ocak;;2018;10905.47;7020.33;Yasal Takip;;8;17925.8
GRUP 2;Ekim;;2020;67603.09;9725.08;Yasal Takip;2021;4;77328.17
GRUP 2;Ağustos;;2021/01;6867.43;718.15;Yasal Takip;;4;7585.58
GRUP 2;Aralık;;2019;24912.05;12239.14;Yasal Takip;;7;37151.19
GRUP 2;Eylül;;2014;7143.26;5462.22;Yasal Takip;;9;12605.48
GRUP 2;Mayıs;;2020;39170.11;8373.14;Yasal Takip;;27;47543.25
GRUP 2;Ağustos;;2021/02;19550.4;15516.38;Yasal Takip;;16;35066.78
GRUP 2;Temmuz;;2021/01;11904.95;2424.33;Yasal Takip;;8;14329.28
GRUP 2;Ağustos;;2014;1194.8;1188.24;Yasal Takip;;9;2383.04
GRUP 2;Mart;;2021/02;65543.2;1389.07;İdari Takip;;30;66932.27
GRUP 2;Kasım;;2015;1931.44;927.02;Yasal Takip;;9;2858.46
GRUP 2;Ekim;;2015;28748.84;7385.23;Yasal Takip;;7;36134.07
GRUP 2;Kasım;;2015;55345.62;4160.89;Yasal Takip;;10;59506.51
GRUP 2;Ocak;;2017;6669.89;5556.97;Yasal Takip;;25;12226.86
GRUP 2;Ocak;;2016;10498.65;1597.13;Yasal Takip;;29;12095.78
GRUP 2;Ekim;;2014;1712.38;4881.83;Yasal Takip;;1;6594.21
GRUP 2;Şubat;;2016;756.51;1117.13;Yasal Takip;;5;1873.64
GRUP 2;Ağustos;;2020;25112.87;6993.05;Yasal Takip;;3;32105.92
GRUP 2;Mart;;2014;7477.9;228.5;Yasal Takip;;30;7706.4
GRUP 2;Mart;;2015;10945.74;2625.7;Yasal Takip;;5;13571.44
GRUP 2;Nisan;;2014;1272.11;1357.99;Yasal Takip;;2;2630.1
GRUP 2;Ekim;;2020;62155.72;19997.24;Yasal Takip;;25;82152.96
GRUP 2;Nisan;;2017;2066;1948.15;Yasal Takip;;20;4014.15
GRUP 2;Mayıs;;2020;17573.22;3071.66;Yasal Takip;;7;20644.88
GRUP 2;Kasım;;2019;22528.89;15800.65;Yasal Takip;;16;38329.54
GRUP 2;Eylül;;2018;14565.77;12133.83;Yasal Takip;;30;26699.6
GRUP 2;Eylül;;2020;51951.7;23597.3;Yasal Takip;;27;75549
GRUP 2;Nisan;;2015;14237.77;75.17;Yasal Takip;;1;14312.94
GRUP 2;Aralık;;2015;3462.1;790.31;Yasal Takip;;2;4252.41
GRUP 2;Nisan;;2020;13741.7;1448.89;Yasal Takip;2021;20;15190.59
GRUP 2;Temmuz;;2020;47503.75;13349.51;Yasal Takip;;28;60853.26
GRUP 2;Ocak;;2015;2625.31;387.07;Yasal Takip;;25;3012.38
GRUP 2;Nisan;;2020;642.53;223.98;Yasal Takip;;4;866.51
GRUP 2;Ocak;;2018;4394.39;3335.05;Yasal Takip;;15;7729.44
GRUP 2;Şubat;;2020;221.92;16.34;Yasal Takip;2021;27;238.26
GRUP 2;Temmuz;;2019;21501.34;7112.83;Yasal Takip;;1;28614.17
GRUP 2;Aralık;;2021/03;27048.06;4599.16;Yasal Takip;;22;31647.22
GRUP 2;Ekim;;2017;18837.97;7563.39;Yasal Takip;;6;26401.36
GRUP 2;Ekim;;2015;5074.42;967.63;Yasal Takip;;14;6042.05
GRUP 2;Kasım;;2016;4805.05;3229.04;Yasal Takip;;12;8034.09
GRUP 2;Şubat;;2017;22086.56;7343.03;Yasal Takip;;3;29429.59
GRUP 2;Temmuz;;2020;73515.49;22397.15;Yasal Takip;;26;95912.64
GRUP 2;Aralık;;2017;5286.3;3454.47;Yasal Takip;;7;8740.77
GRUP 2;Haziran;;2014;3511.69;1786.76;Yasal Takip;;10;5298.45
GRUP 2;Şubat;;2016;1271.67;677.26;Yasal Takip;;3;1948.93
GRUP 2;Ağustos;;2015;10924.1;5769.75;Yasal Takip;;31;16693.85
GRUP 2;Ağustos;;2017;3625.14;2554.51;Yasal Takip;;6;6179.65
GRUP 2;Şubat;;2018;5209.84;5870.25;Yasal Takip;;10;11080.09
GRUP 2;Ocak;;2018;7666.39;7260.95;Yasal Takip;;27;14927.34
GRUP 2;Eylül;;2020;122096.85;24585.66;Yasal Takip;;1;146682.51
GRUP 2;Temmuz;;2021/02;8430.49;736.84;Yasal Takip;;27;9167.33
GRUP 2;Mayıs;;2021/01;11222.66;999.82;Yasal Takip;;24;12222.48
GRUP 2;Mayıs;;2021/03;3523.51;173.2;Yasal Takip;;28;3696.71
GRUP 2;Ekim;;2021/02;9148.51;1089.8;Yasal Takip;;7;10238.31
GRUP 2;Eylül;;2020;12417.72;7858.75;Yasal Takip;2021;23;20276.47
GRUP 2;Şubat;;2014;7192.56;0;Yasal Takip;;2;7192.56
GRUP 2;Nisan;;2014;13125.78;975.02;Yasal Takip;;6;14100.8
GRUP 2;Kasım;;2020;556.58;179.51;Yasal Takip;;14;736.09
GRUP 2;Mart;;2014;1808.32;797.77;Yasal Takip;;15;2606.09
GRUP 2;Mart;;2015;6983.27;2387.38;Yasal Takip;;15;9370.65
GRUP 2;Haziran;;2019;23494.21;5891.05;Yasal Takip;;24;29385.26
GRUP 2;Mayıs;;2020;11687.27;3285.7;Yasal Takip;2021;4;14972.97
GRUP 2;Ekim;;2020;36419.14;17742.21;Yasal Takip;;21;54161.35
GRUP 2;Ağustos;;2021/04;51374.55;4752.13;Yasal Takip;;23;56126.68
GRUP 2;Aralık;;2021/03;10655.65;1698.12;Yasal Takip;;29;12353.77
GRUP 2;Eylül;;2021/03;23013.98;2652.01;Yasal Takip;;7;25665.99
GRUP 2;Kasım;;2021/03;8726.84;3191.48;Yasal Takip;;17;11918.32
GRUP 2;Haziran;;2021/04;96407.77;4850.09;Yasal Takip;;30;101257.86
GRUP 2;Eylül;;2021/03;41106.89;5214.98;Yasal Takip;;9;46321.87
GRUP 2;Kasım;;2021/03;25166.84;4277.94;Yasal Takip;;3;29444.78
GRUP 2;Eylül;;2021/05;29122.97;2103.82;Yasal Takip;;17;31226.79
GRUP 2;Ekim;;2021/05;6741.71;335.78;Yasal Takip;;25;7077.49
GRUP 2;Eylül;;2021/05;9682.02;768.02;Yasal Takip;;1;10450.04
GRUP 2;Ekim;;2021/07;49555.24;3274.18;Yasal Takip;;21;52829.42
GRUP 2;Eylül;;2021/04;22244.77;1114.62;Yasal Takip;;22;23359.39
GRUP 2;Kasım;;2021/09;78621.52;2857.67;Yasal Takip;;24;81479.19
GRUP 2;Ekim;;2021/09;2141726.69;1611.6;İdari Takip;;5;2143338.29
GRUP 2;Aralık;;2021/09;55963.08;5447.26;Yasal Takip;;14;61410.34
GRUP 2;Kasım;;2021/06;33898.49;3831.34;Yasal Takip;;15;37729.83
GRUP 2;Kasım;;2021/09;113370.32;2424.77;Yasal Takip;;18;115795.09
GRUP 2;Aralık;;2021/09;59162.11;2101.78;Yasal Takip;;28;61263.89
GRUP 2;Ağustos;;2021/06;13878.11;504.21;Yasal Takip;;18;14382.32
GRUP 2;Ağustos;;2021/05;70106.46;4288.32;Yasal Takip;;24;74394.78
GRUP 2;Ekim;;2021/04;26131.64;2252.67;Yasal Takip;;22;28384.31
GRUP 2;Ağustos;;2021/05;12113.72;753.02;Yasal Takip;;5;12866.74
GRUP 2;Ağustos;;2021/06;36661.17;1320.1;Yasal Takip;;12;37981.27
GRUP 2;Ağustos;;2021/06;16158.79;1077.79;Yasal Takip;;20;17236.58
GRUP 2;Mayıs;;2021/03;63228.17;2314.88;İdari Takip;;31;65543.05
GRUP 2;Temmuz;;2021/04;32394.27;1565.08;Yasal Takip;;14;33959.35
GRUP 2;Ekim;;2021/05;19768.2;1471.36;Yasal Takip;;1;21239.56
GRUP 2;Aralık;;2021/10;63376.94;3872.95;Yasal Takip;;27;67249.89
GRUP 2;Kasım;;2021/09;75489.29;3955.49;Yasal Takip;;30;79444.78
GRUP 2;Aralık;;2021/10;40972;1799.5;Yasal Takip;;31;42771.5
GRUP 2;Aralık;;2021/10;89826.09;2744.75;Yasal Takip;;10;92570.84
GRUP 2;Kasım;;2021/10;77513.2;1788.48;Yasal Takip;;17;79301.68
GRUP 2;Kasım;;2021/10;74071.35;1608.62;Yasal Takip;;24;75679.97
GRUP 2;Mart;;2021/02;3356.05;20.57;İdari Takip;;7;3376.62
GRUP 2;Mart;;2021/02;296788.86;1830.94;İdari Takip;;4;298619.8
GRUP 2;Mart;;2020;30789.81;1611.27;İdari Takip;;9;32401.08
GRUP 2;Mart;;2020;1948.23;198.08;İdari Takip;;25;2146.31
GRUP 2;Ocak;;2020;171967.95;4438.94;İdari Takip;;21;176406.89
GRUP 2;Temmuz;;2020;8.58;1.98;İdari Takip;;26;10.56
GRUP 2;Mart;;2021/01;26915.87;797.5;İdari Takip;;18;27713.37
GRUP 2;Ağustos;;2021/01;4.3;0.34;İdari Takip;;2;4.64
GRUP 2;Eylül;;2021/01;1483.33;219.37;İdari Takip;;27;1702.7
GRUP 2;Nisan;;2021/03;500550.58;2141.11;İdari Takip;;2;502691.69
GRUP 2;Mayıs;;2021/03;30528.7;651.28;İdari Takip;;3;31179.98
GRUP 2;Ağustos;;2021/06;93667.7;2500.4;İdari Takip;;11;96168.1
GRUP 2;Temmuz;;2021/06;200957.01;1330.29;İdari Takip;;2;202287.3
GRUP 2;Haziran;;2021/05;93409;907.12;İdari Takip;;10;94316.12
GRUP 2;Ağustos;;2021/05;502.69;25.31;İdari Takip;;29;528
GRUP 2;Ağustos;;2021/08;32618.17;183.14;İdari Takip;;25;32801.31
GRUP 2;Ekim;;2021/09;148268.3;2039.94;İdari Takip;;8;150308.24
GRUP 2;Kasım;;2021/10;529177.18;5603.64;İdari Takip;;10;534780.82
GRUP 2;Kasım;;2021/08;27175.07;1119.37;İdari Takip;;2;28294.44
GRUP 2;Kasım;;2021/07;284.16;18.77;İdari Takip;;9;302.93
GRUP 2;Ekim;;2021/08;74623.53;1669.21;İdari Takip;;5;76292.74
GRUP 2;Kasım;;2021/08;5116.01;235.39;İdari Takip;;17;5351.4
GRUP 2;Eylül;;2021/08;199346.77;2834.94;İdari Takip;;17;202181.71
GRUP 2;Ağustos;;2021/07;151707.61;814.34;İdari Takip;;3;152521.95
GRUP 2;Kasım;;2021/08;5593.64;257.74;İdari Takip;;10;5851.38
GRUP 2;Mart;;2018;5778.96;4718.91;Yasal Takip;;25;10497.87
GRUP 2;Temmuz;;2020;43236.65;13887.6;Yasal Takip;;6;57124.25
GRUP 2;Haziran;;2021/03;95.69;58.5;Yasal Takip;;10;154.19
GRUP 2;Mart;;2017;1613;341.63;Yasal Takip;;19;1954.63
GRUP 2;Kasım;;2020;0;0;Yasal Takip;;7;0
GRUP 2;Şubat;;2020;1315.14;116.15;Yasal Takip;;7;1431.29
GRUP 2;Kasım;;2016;4850.25;2907.79;Yasal Takip;;25;7758.04
GRUP 2;Kasım;;2020;28717.05;6915.53;Yasal Takip;2021;25;35632.58
GRUP 2;Kasım;;2017;5899.15;1559.02;Yasal Takip;;24;7458.17
GRUP 2;Aralık;;2015;7415.49;2043.94;Yasal Takip;;16;9459.43
GRUP 2;Haziran;;2019;26163.56;10789.02;Yasal Takip;;9;36952.58
GRUP 2;Mart;;2021/01;33363.14;919.22;Yasal Takip;;9;34282.36
GRUP 2;Şubat;;2015;23547.3;604.93;Yasal Takip;;23;24152.23
GRUP 2;Mayıs;;2018;15174.16;8809.68;Yasal Takip;;3;23983.84
GRUP 2;Aralık;;2015;15016.88;3149.15;Yasal Takip;;13;18166.03
GRUP 2;Haziran;;2014;2670.82;615.41;Yasal Takip;;28;3286.23
GRUP 2;Ağustos;;2017;1920.61;77.38;Yasal Takip;;7;1997.99
GRUP 2;Mayıs;;2021/02;11596.48;966.7;Yasal Takip;;27;12563.18
GRUP 2;Aralık;;2017;14204.95;5715.36;Yasal Takip;;2;19920.31
GRUP 2;Mayıs;;2016;2490.18;1182.69;Yasal Takip;;6;3672.87
GRUP 2;Mayıs;;2017;517.81;574.41;Yasal Takip;;12;1092.22
GRUP 2;Ocak;;2020;36756.53;1065.95;İdari Takip;2021;25;37822.48
GRUP 2;Haziran;;2021/03;28859.29;1677.58;İdari Takip;;28;30536.87
GRUP 2;Nisan;;2021/02;26128.01;1745.75;İdari Takip;;20;27873.76
GRUP 2;Kasım;;2021/04;1550.39;203.93;Yasal Takip;;21;1754.32
GRUP 2;Kasım;;2021/07;11488.98;664.61;Yasal Takip;;5;12153.59
GRUP 2;Kasım;;2021/03;7979.64;1204.91;Yasal Takip;;25;9184.55
GRUP 2;Aralık;;2021/04;43514.05;2349.55;Yasal Takip;;14;45863.6
GRUP 2;Eylül;;2021/06;9905.1;449.43;Yasal Takip;;9;10354.53
GRUP 2;Ekim;;2021/05;26494.19;2561.16;Yasal Takip;;20;29055.35
GRUP 2;Ekim;;2021/06;43312.73;3657.51;Yasal Takip;;26;46970.24
GRUP 2;Haziran;;2021/02;22.18;1.05;İdari Takip;;2;23.23
GRUP 2;Eylül;;2021/02;540.78;66.36;İdari Takip;;30;607.14
GRUP 2;Mart;;2021/02;113595.28;1314.06;İdari Takip;;18;114909.34
GRUP 2;Haziran;;2020;27604.91;8556.26;İdari Takip;;3;36161.17
GRUP 2;Mart;;2020;22396.08;1290.76;İdari Takip;;19;23686.84
GRUP 2;Nisan;;2021/03;359825.4;3225.11;İdari Takip;;16;363050.51
GRUP 2;Temmuz;;2021/05;45.18;0.12;İdari Takip;;4;45.3
GRUP 2;Haziran;;2021/04;126284.39;3159.88;İdari Takip;;3;129444.27
GRUP 2;Ekim;;2021/09;165261.81;1493.94;İdari Takip;;12;166755.75
GRUP 2;Ağustos;;2021/07;282528.12;5584.34;İdari Takip;;27;288112.46
GRUP 2;Kasım;;2021/11;102365.32;231.04;İdari Takip;;15;102596.36
GRUP 2;Ekim;;2021/08;107924.09;2667.42;İdari Takip;;6;110591.51
GRUP 2;Aralık;;2021/10;5274.2;386.2;İdari Takip;;27;5660.4
GRUP 2;Aralık;;2021/10;6215.14;233.95;İdari Takip;;10;6449.09
GRUP 2;Haziran;;2018;5381.45;5425.84;Yasal Takip;;29;10807.29
GRUP 2;Mart;;2014;875.52;15194.5;Yasal Takip;;16;16070.02
GRUP 2;Ekim;;2016;5825.64;262.81;Yasal Takip;;15;6088.45
GRUP 2;Eylül;;2017;4120.82;3605.87;Yasal Takip;;10;7726.69
GRUP 2;Aralık;;2015;13038.6;1503.25;Yasal Takip;;22;14541.85
GRUP 2;Temmuz;;2016;22476.47;5214.55;Yasal Takip;;13;27691.02
GRUP 2;Aralık;;2013;2312.76;3800.27;Yasal Takip;;14;6113.03
GRUP 2;Kasım;;2021/02;12201.89;1220.65;Yasal Takip;;19;13422.54
GRUP 2;Mart;;2016;7133.58;1450.76;Yasal Takip;;5;8584.34
GRUP 2;Haziran;;2018;2012.12;761.35;Yasal Takip;;21;2773.47
GRUP 2;Ekim;;2014;1222.82;1090.52;Yasal Takip;;5;2313.34
GRUP 2;Ekim;;2015;1606.62;572.22;Yasal Takip;;28;2178.84
GRUP 2;Nisan;;2015;4885.3;1177.26;Yasal Takip;;29;6062.56
GRUP 2;Mart;;2018;13519.71;8192.3;Yasal Takip;;17;21712.01
GRUP 2;Şubat;;2021/02;919.05;0;Yasal Takip;;22;919.05
GRUP 2;Haziran;;2021/03;4259.76;235.94;İdari Takip;;25;4495.7
GRUP 2;Eylül;;2021/05;10366.69;704.24;Yasal Takip;;14;11070.93
GRUP 2;Nisan;;2021/02;227705.4;6589.46;İdari Takip;;21;234294.86
GRUP 2;Şubat;;2020;106380.43;2377.59;İdari Takip;;5;108758.02
GRUP 2;Şubat;;2020;1317.81;131.93;İdari Takip;;27;1449.74
GRUP 2;Haziran;;2020;603.21;69.4;İdari Takip;;11;672.61
GRUP 2;Mart;;2021/01;4630.91;169.58;İdari Takip;;31;4800.49
GRUP 2;Şubat;;2016;532.5;372.47;Yasal Takip;;2;904.97
GRUP 2;Aralık;;2020;13435.3;3469.2;İdari Takip;;6;16904.5
GRUP 2;Kasım;;2021/06;5021.35;384.29;İdari Takip;;2;5405.64
GRUP 2;Temmuz;;2021/05;50982.73;959.87;İdari Takip;;5;51942.6
GRUP 2;Aralık;;2021/10;11.58;0.33;İdari Takip;;25;11.91
GRUP 2;Ekim;;2021/07;6364.12;269.86;İdari Takip;;12;6633.98
GRUP 2;Haziran;;2017;4472.68;3011.47;Yasal Takip;;15;7484.15
GRUP 2;Aralık;;2020;25115.98;17783.76;Yasal Takip;2021;10;42899.74
GRUP 2;Mart;;2015;2736.68;1038.73;Yasal Takip;;16;3775.41
